# ==========>  Spectrum: Auger combined spectrum (ICRC 2019) <============ 
# E*J in  [m^-2 s^-1 sr^-1] units
# log10E = center of the energy bin 
# log10E    E*J       Err_up       Err_low  
16.55 2.215e-09 2.186e-11 2.165e-11
16.65 1.440e-09 1.477e-11 1.462e-11
16.75 9.515e-10 1.059e-11 1.048e-11
16.85 6.064e-10 7.295e-12 7.208e-12
16.95 3.911e-10 5.189e-12 5.122e-12
17.05 2.522e-10 5.226e-13 5.225e-13
17.15 1.589e-10 4.178e-13 4.178e-13
17.25 9.685e-11 3.277e-13 3.277e-13
17.35 5.823e-11 2.552e-13 2.552e-13
17.45 3.465e-11 1.977e-13 1.977e-13
17.55 2.050e-11 1.527e-13 1.527e-13
17.65 1.211e-11 1.177e-13 1.177e-13
17.75 7.030e-12 9.004e-14 9.004e-14
17.85 4.132e-12 6.928e-14 6.928e-14
17.95 2.430e-12 5.338e-14 5.338e-14
18.05 1.391e-12 3.131e-14 3.131e-14
18.15 8.285e-13 2.077e-14 2.077e-14
18.25 5.096e-13 1.347e-14 1.347e-14
18.35 2.885e-13 8.156e-15 8.156e-15
18.45 1.725e-13 5.923e-16 5.923e-16
18.55 1.016e-13 4.612e-16 4.612e-16
18.65 6.119e-14 3.149e-16 3.149e-16
18.75 3.904e-14 2.535e-16 2.535e-16
18.85 2.730e-14 2.139e-16 2.139e-16
18.95 1.934e-14 1.812e-16 1.812e-16
19.05 1.344e-14 1.513e-16 1.513e-16
19.15 9.228e-15 1.253e-16 1.253e-16
19.25 5.832e-15 9.978e-17 9.978e-17
19.35 3.762e-15 8.032e-17 8.032e-17
19.45 2.297e-15 6.307e-17 6.307e-17
19.55 1.459e-15 5.060e-17 5.060e-17
19.65 8.237e-16 3.847e-17 3.847e-17
19.75 3.598e-16 2.561e-17 2.561e-17
19.85 1.615e-16 1.723e-17 1.723e-17
19.95 3.689e-17 8.860e-18 8.860e-18
20.05 1.627e-17 6.287e-18 6.287e-18
20.15 1.311e-17 7.792e-18 5.180e-18
