#E - dE_lo - dE_up - y - dy_lo - dy_up
#E in GeV; y = E^2 J_p in GeV m^-2 s^-1 sr^-1
#Proton fraction model: Sibyll2.3e, Element 100
5.63998e+08 6.28111e+07 6.69590e+07 8.61282e-04 1.06697e-04 9.86083e-05
7.07768e+08 7.68107e+07 8.65602e+07 8.73360e-04 7.81684e-05 7.84558e-05
8.88995e+08 9.46672e+07 1.11005e+08 7.66270e-04 6.38201e-05 5.82519e-05
1.11788e+09 1.17883e+08 1.41043e+08 6.93712e-04 5.43432e-05 4.57375e-05
1.40397e+09 1.45041e+08 1.80927e+08 5.04683e-04 4.38286e-05 3.67020e-05
1.76973e+09 1.84841e+08 2.25528e+08 3.36753e-04 3.70058e-05 2.90760e-05
2.22445e+09 2.29185e+08 2.87439e+08 2.22057e-04 3.05041e-05 2.17793e-05
2.79995e+09 2.88062e+08 3.62329e+08 1.85650e-04 3.17380e-05 1.28707e-05
3.52531e+09 3.63029e+08 4.55765e+08 8.62046e-05 2.53181e-05 8.98266e-06
4.44233e+09 4.61260e+08 5.69541e+08 7.43367e-05 1.91776e-05 9.33255e-06
