#Source: KCDC
#Ref: not available (none)
#Experiment: KASCADE (2011_SIBYLL-2.1)
#Y Quantity: H
#X Quantity: totalEnergy
#Url: https://kcdc.ikp.kit.edu/spectra/
#Comments: From Marcel Finger PhD Thesis
#Colums: x, y, y statistical errors, y systematic errors
1.122e+06 2.879e-13 0.000e+00 0.000e+00 6.834e-15 6.834e-15 
1.413e+06 1.674e-13 0.000e+00 0.000e+00 3.907e-15 3.907e-15 
1.778e+06 8.225e-14 0.000e+00 0.000e+00 2.100e-15 2.100e-15 
2.239e+06 3.377e-14 0.000e+00 0.000e+00 1.013e-15 1.013e-15 
2.818e+06 1.386e-14 0.000e+00 0.000e+00 6.030e-16 6.030e-16 
3.548e+06 6.686e-15 0.000e+00 0.000e+00 4.416e-16 4.416e-16 
4.467e+06 3.250e-15 0.000e+00 0.000e+00 2.740e-16 2.740e-16 
5.623e+06 1.362e-15 0.000e+00 0.000e+00 1.247e-16 1.247e-16 
7.079e+06 4.831e-16 0.000e+00 0.000e+00 5.290e-17 5.290e-17 
8.913e+06 1.674e-16 0.000e+00 0.000e+00 2.321e-17 2.321e-17 
1.122e+07 6.479e-17 0.000e+00 0.000e+00 1.110e-17 1.110e-17 
1.413e+07 1.892e-17 0.000e+00 0.000e+00 4.769e-18 4.769e-18 
1.778e+07 5.844e-18 0.000e+00 0.000e+00 2.218e-18 2.218e-18 
2.239e+07 3.808e-18 0.000e+00 0.000e+00 1.169e-18 1.169e-18 
2.818e+07 8.890e-19 0.000e+00 0.000e+00 1.110e-18 1.110e-18 
3.548e+07 1.352e-19 0.000e+00 0.000e+00 1.224e-18 1.224e-18 
4.467e+07 6.562e-19 0.000e+00 0.000e+00 8.586e-19 8.586e-19 
5.623e+07 2.408e-18 0.000e+00 0.000e+00 1.390e-18 1.390e-18 
7.079e+07 7.277e-20 0.000e+00 0.000e+00 9.611e-19 9.611e-19 
8.913e+07 4.414e-19 0.000e+00 0.000e+00 6.543e-19 6.543e-19 
