Energy_min Energy_max E_avg Model Element Map_Value HDI68_Lower_Error HDI68_Upper_Error hdi_up_95 QCount2_5_Map QCount97_5_Map
* * * * * * * * * * *
17.7 17.8 17.75127781048311 EPOS-LHC-R 100 0.2104 0.018 0.019 0.2472 0.1752 0.2476
17.7 17.8 17.75127781048311 EPOS-LHC-R 400 0.153 0.0441 0.0465 0.242 0.0645 0.2422
17.7 17.8 17.75127781048311 EPOS-LHC-R 1400 0.467 0.0427 0.0393 0.547 0.3845 0.5463
17.7 17.8 17.75127781048311 EPOS-LHC-R 5600 0.1696 0.0128 0.0136 0.1957 0.1441 0.1962
* * * * * * * * * * *
17.8 17.9 17.849890953614022 EPOS-LHC-R 100 0.2496 0.019 0.019 0.2881 0.2133 0.2882
17.8 17.9 17.849890953614022 EPOS-LHC-R 400 0.1573 0.0446 0.0456 0.2466 0.0683 0.2462
17.8 17.9 17.849890953614022 EPOS-LHC-R 1400 0.4117 0.0425 0.038 0.4896 0.3304 0.4893
17.8 17.9 17.849890953614022 EPOS-LHC-R 5600 0.1814 0.0124 0.0136 0.208 0.1567 0.2077
* * * * * * * * * * *
17.9 18.0 17.948899547485986 EPOS-LHC-R 100 0.2978 0.0205 0.0207 0.3372 0.2575 0.3368
17.9 18.0 17.948899547485986 EPOS-LHC-R 400 0.1069 0.0456 0.0482 0.1964 0.0217 0.2015
17.9 18.0 17.948899547485986 EPOS-LHC-R 1400 0.4299 0.0419 0.0394 0.5055 0.3463 0.5033
17.9 18.0 17.948899547485986 EPOS-LHC-R 5600 0.1654 0.0125 0.0134 0.1915 0.1411 0.1921
* * * * * * * * * * *
18.0 18.1 18.048396317097037 EPOS-LHC-R 100 0.3313 0.0228 0.0229 0.3767 0.2872 0.3765
18.0 18.1 18.048396317097037 EPOS-LHC-R 400 0.1356 0.0496 0.0527 0.2347 0.0378 0.237
18.0 18.1 18.048396317097037 EPOS-LHC-R 1400 0.367 0.0461 0.0416 0.4503 0.2781 0.4494
18.0 18.1 18.048396317097037 EPOS-LHC-R 5600 0.1661 0.0134 0.0141 0.1938 0.1401 0.1942
* * * * * * * * * * *
18.1 18.2 18.14735671220488 EPOS-LHC-R 100 0.3518 0.0261 0.0257 0.4026 0.3016 0.4026
18.1 18.2 18.14735671220488 EPOS-LHC-R 400 0.1438 0.0555 0.058 0.2533 0.037 0.2571
18.1 18.2 18.14735671220488 EPOS-LHC-R 1400 0.3857 0.0489 0.0456 0.4737 0.2897 0.4728
18.1 18.2 18.14735671220488 EPOS-LHC-R 5600 0.1187 0.0136 0.0146 0.1472 0.0923 0.1474
* * * * * * * * * * *
18.2 18.3 18.247908133753096 EPOS-LHC-R 100 0.3065 0.0272 0.0285 0.3618 0.2537 0.3632
18.2 18.3 18.247908133753096 EPOS-LHC-R 400 0.2523 0.0593 0.0632 0.3735 0.1326 0.3743
18.2 18.3 18.247908133753096 EPOS-LHC-R 1400 0.3194 0.0559 0.0485 0.4182 0.2125 0.4181
18.2 18.3 18.247908133753096 EPOS-LHC-R 5600 0.1218 0.0145 0.0171 0.1541 0.0923 0.1544
* * * * * * * * * * *
18.3 18.4 18.347222067671225 EPOS-LHC-R 100 0.3039 0.0319 0.0303 0.3657 0.2444 0.3669
18.3 18.4 18.347222067671225 EPOS-LHC-R 400 0.2584 0.0648 0.0713 0.3957 0.1265 0.3952
18.3 18.4 18.347222067671225 EPOS-LHC-R 1400 0.3425 0.0618 0.0525 0.4499 0.2245 0.4497
18.3 18.4 18.347222067671225 EPOS-LHC-R 5600 0.0952 0.0154 0.018 0.1297 0.0644 0.1302
* * * * * * * * * * *
18.4 18.5 18.44715003283898 EPOS-LHC-R 100 0.3473 0.0386 0.0378 0.4219 0.2736 0.4212
18.4 18.5 18.44715003283898 EPOS-LHC-R 400 0.1852 0.0744 0.0862 0.3414 0.0396 0.3479
18.4 18.5 18.44715003283898 EPOS-LHC-R 1400 0.4113 0.0704 0.0582 0.5291 0.2758 0.5244
18.4 18.5 18.44715003283898 EPOS-LHC-R 5600 0.0562 0.0166 0.02 0.0944 0.0235 0.0956
* * * * * * * * * * *
18.5 18.6 18.5471969242827 EPOS-LHC-R 100 0.239 0.0391 0.0409 0.3195 0.1651 0.3219
18.5 18.6 18.5471969242827 EPOS-LHC-R 400 0.2623 0.0875 0.0931 0.4374 0.0869 0.4393
18.5 18.6 18.5471969242827 EPOS-LHC-R 1400 0.4247 0.0813 0.0716 0.5679 0.2667 0.5665
18.5 18.6 18.5471969242827 EPOS-LHC-R 5600 0.0741 0.0216 0.0232 0.1212 0.0334 0.1217
* * * * * * * * * * *
18.6 18.7 18.647610960366155 EPOS-LHC-R 100 0.3196 0.0464 0.0148 0.362 0.2374 0.3598
18.6 18.7 18.647610960366155 EPOS-LHC-R 400 0.0 0.0 0.0739 0.1597 0 0.186
18.6 18.7 18.647610960366155 EPOS-LHC-R 1400 0.6407 0.0964 0.0051 0.6843 0.4684 0.6774
18.6 18.7 18.647610960366155 EPOS-LHC-R 5600 0.0397 0.0114 0.0316 0.0939 0.0126 0.0966
* * * * * * * * * * *
18.7 18.8 18.746488840779268 EPOS-LHC-R 100 0.1359 0.0449 0.0316 0.2042 0.0597 0.2061
18.7 18.8 18.746488840779268 EPOS-LHC-R 400 0.1245 0.0571 0.1197 0.3133 0.0177 0.3425
18.7 18.8 18.746488840779268 EPOS-LHC-R 1400 0.728 0.1162 0.0307 0.8076 0.5136 0.7991
18.7 18.8 18.746488840779268 EPOS-LHC-R 5600 0.0115 0.0115 0.0267 0.071 0.0015 0.0806
* * * * * * * * * * *
18.8 18.9 18.847177883670252 EPOS-LHC-R 100 0.0948 0.0463 0.0449 0.1853 0.0203 0.1925
18.8 18.9 18.847177883670252 EPOS-LHC-R 400 0.2486 0.1115 0.1216 0.4622 0.0419 0.4761
18.8 18.9 18.847177883670252 EPOS-LHC-R 1400 0.5892 0.1175 0.0955 0.7717 0.3584 0.7626
18.8 18.9 18.847177883670252 EPOS-LHC-R 5600 0.0674 0.032 0.0354 0.1375 0.0137 0.1436
* * * * * * * * * * *
18.9 19.0 18.949499502378234 EPOS-LHC-R 100 0.0928 0.0408 0.0287 0.1594 0.0291 0.1637
18.9 19.0 18.949499502378234 EPOS-LHC-R 400 0.0913 0.0586 0.1091 0.2853 0.0097 0.3155
18.9 19.0 18.949499502378234 EPOS-LHC-R 1400 0.8159 0.1208 0.0228 0.8828 0.5896 0.8718
18.9 19.0 18.949499502378234 EPOS-LHC-R 5600 0.0001 0.0001 0.0248 0.0552 0 0.065
* * * * * * * * * * *
19.0 19.1 19.047456932544492 EPOS-LHC-R 100 0.1239 0.0547 0.0197 0.1809 0.0368 0.1834
19.0 19.1 19.047456932544492 EPOS-LHC-R 400 0.0003 0.0003 0.1091 0.2282 0 0.2632
19.0 19.1 19.047456932544492 EPOS-LHC-R 1400 0.8644 0.1578 0.0001 0.8885 0.5847 0.8761
19.0 19.1 19.047456932544492 EPOS-LHC-R 5600 0.0114 0.0113 0.0451 0.1032 0.0024 0.1167
* * * * * * * * * * *
19.1 19.2 19.147320768498926 EPOS-LHC-R 100 0.0141 0.0141 0.0171 0.0667 0.0009 0.0778
19.1 19.2 19.147320768498926 EPOS-LHC-R 400 0.0012 0.0012 0.0865 0.1793 0 0.2069
19.1 19.2 19.147320768498926 EPOS-LHC-R 1400 0.9845 0.1672 0.0155 0.9774 0.6923 1
19.1 19.2 19.147320768498926 EPOS-LHC-R 5600 0.0003 0.0003 0.0546 0.1095 0 0.1258
* * * * * * * * * * *
19.2 19.3 19.248423122049356 EPOS-LHC-R 100 0.1076 0.0528 0.0374 0.1957 0.0259 0.2047
19.2 19.3 19.248423122049356 EPOS-LHC-R 400 0.0003 0.0003 0.0862 0.2065 0 0.2459
19.2 19.3 19.248423122049356 EPOS-LHC-R 1400 0.8156 0.1802 0.0148 0.8942 0.4855 0.878
19.2 19.3 19.248423122049356 EPOS-LHC-R 5600 0.0764 0.043 0.0829 0.2237 0.0105 0.2483
* * * * * * * * * * *
19.3 19.4 19.346213561991412 EPOS-LHC-R 100 0.0426 0.0424 0.0191 0.1171 0.0029 0.1343
19.3 19.4 19.346213561991412 EPOS-LHC-R 400 0.0003 0.0003 0.0929 0.2096 0 0.2469
19.3 19.4 19.346213561991412 EPOS-LHC-R 1400 0.7831 0.2233 0.007 0.8821 0.4004 0.8669
19.3 19.4 19.346213561991412 EPOS-LHC-R 5600 0.174 0.0481 0.1153 0.3724 0.062 0.3801
* * * * * * * * * * *
19.4 19.5 19.444663316573514 EPOS-LHC-R 100 0.0001 0.0001 0.0686 0.1573 0 0.1857
19.4 19.5 19.444663316573514 EPOS-LHC-R 400 0.2169 0.1857 0.0621 0.4012 0.0118 0.4363
19.4 19.5 19.444663316573514 EPOS-LHC-R 1400 0.3301 0.2268 0.1234 0.5734 0.0227 0.6193
19.4 19.5 19.444663316573514 EPOS-LHC-R 5600 0.453 0.0958 0.0979 0.6341 0.2584 0.6308
* * * * * * * * * * *
19.5 19.6 19.549438511046496 EPOS-LHC-R 100 0.024 0.024 0.0719 0.2059 0.0028 0.2405
19.5 19.6 19.549438511046496 EPOS-LHC-R 400 0.0 0.0 0.164 0.3555 0 0.4128
19.5 19.6 19.549438511046496 EPOS-LHC-R 1400 0.8592 0.4626 0.0693 0.9019 0.1297 0.8754
19.5 19.6 19.549438511046496 EPOS-LHC-R 5600 0.1168 0.0538 0.2242 0.4794 0.0197 0.5274
* * * * * * * * * * *
19.6 21.0 19.710021587760483 EPOS-LHC-R 100 0.0001 0.0001 0.0557 0.1351 0 0.1622
19.6 21.0 19.710021587760483 EPOS-LHC-R 400 0.0009 0.0009 0.1232 0.2608 0 0.3001
19.6 21.0 19.710021587760483 EPOS-LHC-R 1400 0.4345 0.349 0.0481 0.5079 0.0206 0.5533
19.6 21.0 19.710021587760483 EPOS-LHC-R 5600 0.5645 0.0809 0.158 0.8168 0.3506 0.8102
