Energy_min Energy_max E_avg Model Element Map_Value HDI68_Lower_Error HDI68_Upper_Error hdi_up_95 QCount2_5_Map QCount97_5_Map
* * * * * * * * * * *
17.7 17.8 17.75127781048311 Sibyll2.3e 100 0.2236 0.0277 0.0256 0.276 0.1713 0.2762
17.7 17.8 17.75127781048311 Sibyll2.3e 400 0.4253 0.0518 0.0607 0.538 0.3167 0.5381
17.7 17.8 17.75127781048311 Sibyll2.3e 1400 0.3205 0.0439 0.0384 0.3979 0.2362 0.398
17.7 17.8 17.75127781048311 Sibyll2.3e 5600 0.0306 0.0102 0.0108 0.0521 0.0112 0.0525
* * * * * * * * * * *
17.8 17.9 17.849890953614022 Sibyll2.3e 100 0.3039 0.0272 0.0273 0.3577 0.2505 0.3583
17.8 17.9 17.849890953614022 Sibyll2.3e 400 0.3285 0.0533 0.0589 0.4401 0.2193 0.44
17.8 17.9 17.849890953614022 Sibyll2.3e 1400 0.3369 0.0436 0.0368 0.4131 0.2551 0.4132
17.8 17.9 17.849890953614022 Sibyll2.3e 5600 0.0307 0.0096 0.0108 0.0516 0.0118 0.0521
* * * * * * * * * * *
17.9 18.0 17.948899547485986 Sibyll2.3e 100 0.3578 0.0298 0.0272 0.4136 0.3013 0.4138
17.9 18.0 17.948899547485986 Sibyll2.3e 400 0.277 0.0539 0.0595 0.3906 0.1685 0.3916
17.9 18.0 17.948899547485986 Sibyll2.3e 1400 0.3395 0.0427 0.0351 0.4124 0.2591 0.4118
17.9 18.0 17.948899547485986 Sibyll2.3e 5600 0.0257 0.0085 0.0101 0.045 0.009 0.0455
* * * * * * * * * * *
18.0 18.1 18.048396317097037 Sibyll2.3e 100 0.4353 0.0341 0.0287 0.496 0.3725 0.4958
18.0 18.1 18.048396317097037 Sibyll2.3e 400 0.2029 0.0557 0.0661 0.328 0.0897 0.3287
18.0 18.1 18.048396317097037 Sibyll2.3e 1400 0.342 0.0459 0.0369 0.4163 0.2538 0.4146
18.0 18.1 18.048396317097037 Sibyll2.3e 5600 0.0198 0.0093 0.0109 0.04 0.0034 0.0419
* * * * * * * * * * *
18.1 18.2 18.14735671220488 Sibyll2.3e 100 0.4249 0.0369 0.0309 0.4897 0.3555 0.4893
18.1 18.2 18.14735671220488 Sibyll2.3e 400 0.3147 0.0554 0.0728 0.4491 0.2001 0.4521
18.1 18.2 18.14735671220488 Sibyll2.3e 1400 0.2461 0.0482 0.035 0.3169 0.1523 0.3138
18.1 18.2 18.14735671220488 Sibyll2.3e 5600 0.0143 0.0082 0.0103 0.033 0.0017 0.0363
* * * * * * * * * * *
